TimeStamp,ID,Value
2020/10/01 00:00:00.000,5,128
2020/10/01 00:00:00.005,10,695
2020/10/01 00:00:00.010,15,489
2020/10/01 00:00:00.015,20,283
2020/10/01 00:00:00.020,25,699
2020/10/01 00:00:00.025,30,10
2020/10/01 00:00:00.030,35,404
2020/10/01 00:00:00.035,40,27
2020/10/01 00:00:00.040,45,842
2020/10/01 00:00:00.045,50,373
2020/10/01 00:00:00.050,55,757
2020/10/01 00:00:00.055,60,171
2020/10/01 00:00:00.060,65,107
2020/10/01 00:00:00.065,70,98
2020/10/01 00:00:00.070,75,475
2020/10/01 00:00:00.075,80,855
2020/10/01 00:00:00.080,85,822
2020/10/01 00:00:00.085,90,918
2020/10/01 00:00:00.090,95,628
2020/10/01 00:00:00.095,100,103
2020/10/01 00:00:00.100,105,229
2020/10/01 00:00:00.105,110,809
2020/10/01 00:00:00.110,115,430
2020/10/01 00:00:00.115,120,688
2020/10/01 00:00:00.120,125,362
2020/10/01 00:00:00.125,130,971
2020/10/01 00:00:00.130,135,257
2020/10/01 00:00:00.135,140,962
2020/10/01 00:00:00.140,145,935
2020/10/01 00:00:00.145,150,613
