TimeStamp,ID,Value,Msg
2020/10/01 00:00:00.000,5,128,h
2020/10/01 00:00:00.005,10,695,P
2020/10/01 00:00:00.010,15,490,M
2020/10/01 00:00:00.015,20,283,n
2020/10/01 00:00:00.020,25,,W
2020/10/01 00:00:00.025,30,11,]
2020/10/01 00:00:00.030,35,404,d
2020/10/01 00:00:00.035,40,28,K
2020/10/01 00:00:00.040,45,842,Z
2020/10/01 00:00:00.045,50,373,Y
2020/10/01 00:00:00.050,55,758,Z
2020/10/01 00:00:00.055,60,,b
2020/10/01 00:00:00.060,65,107,A
2020/10/01 00:00:00.065,70,98,G
2020/10/01 00:00:00.070,75,475,d
2020/10/01 00:00:00.075,80,,\
2020/10/01 00:00:00.080,85,822,I
2020/10/01 00:00:00.085,90,919,P
2020/10/01 00:00:00.090,95,628,d
2020/10/01 00:00:00.095,100,103,j
2020/10/01 00:00:00.100,105,230,A
2020/10/01 00:00:00.105,110,,H
2020/10/01 00:00:00.110,115,431,]
2020/10/01 00:00:00.115,120,689,v
2020/10/01 00:00:00.120,125,362,L
2020/10/01 00:00:00.125,130,971,_
2020/10/01 00:00:00.130,135,258,E
2020/10/01 00:00:00.135,140,962,B
2020/10/01 00:00:00.140,145,,X
2020/10/01 00:00:02.145,150,613,[
